Year,State,Average Income Per Capita
2022,AL,50637
2022,AK,68919
2022,AZ,56667
2022,AR,51787
2022,CA,77339
2022,CO,74167
2022,CT,84972
2022,DE,61387
2022,DC,96728
2022,FL,63597
2022,GA,57129
2022,HI,61175
2022,ID,54537
2022,IL,68822
2022,IN,57930
2022,IA,58905
2022,KS,60152
2022,KY,52109
2022,LA,54622
2022,ME,59463
2022,MD,70730
2022,MA,84945
2022,MI,56813
2022,MN,68010
2022,MS,46248
2022,MO,56551
2022,MT,57719
2022,NE,63321
2022,NV,61282
2022,NH,74663
2022,NJ,78700
2022,NM,51500
2022,NY,78089
2022,NC,57416
2022,ND,66184
2022,OH,57880
2022,OK,54998
2022,OR,62767
2022,PA,65167
2022,RI,65377
2022,SC,53320
2022,SD,65806
2022,TN,58279
2022,TX,61985
2022,UT,57925
2022,VT,63206
2022,VA,68211
2022,WA,75698
2022,WV,49169
2022,WI,61210
2022,WY,71342
2021,AL,49671
2021,AK,65677
2021,AZ,55574
2021,AR,50588
2021,CA,76800
2021,CO,70715
2021,CT,82885
2021,DE,59846
2021,DC,96659
2021,FL,62136
2021,GA,55846
2021,HI,60711
2021,ID,52276
2021,IL,67165
2021,IN,56435
2021,IA,57080
2021,KS,58857
2021,KY,51298
2021,LA,54181
2021,ME,58272
2021,MD,69710
2021,MA,83593
2021,MI,56569
2021,MN,66232
2021,MS,45887
2021,MO,55310
2021,MT,56848
2021,NE,61210
2021,NV,60167
2021,NH,73279
2021,NJ,77009
2021,NM,50292
2021,NY,76753
2021,NC,56095
2021,ND,64276
2021,OH,56955
2021,OK,53808
2021,OR,61449
2021,PA,64042
2021,RI,64296
2021,SC,52441
2021,SD,64405
2021,TN,56616
2021,TX,59802
2021,UT,56000
2021,VT,61748
2021,VA,66190
2021,WA,73755
2021,WV,48418
2021,WI,59787
2021,WY,69584